customer_id,loan_amount,loan_term,credit_score,income,employment_status,debt_to_income,default_probability,default_status
1,57450.71229516849,12,650.18028484588,19525.467722627924,Unemployed,0.7864091667006332,0.6807677225421517,1
2,47926.03548243223,24,732.6080136230141,40204.01747269722,Self-employed,0.8237894741682293,0.5504348030951558,0
3,59715.32807151039,12,677.7511578299267,66827.6842205041,Self-employed,0.47757585019489324,0.4208545238477668,0
4,72845.44784612038,48,711.5079922905962,79780.87008616742,Unemployed,0.2657514868776394,0.32892736920720733,0
5,46487.69937914996,36,697.2380527613391,38851.964194615444,Full-time,0.06307037866097986,0.18006038708466657,0
6,46487.945645762295,48,777.8857192143606,67605.06381428883,Unemployed,0.2784942375253495,0.25844638488534094,0
7,73688.19223261088,60,706.7968077823456,79663.9071745363,Full-time,0.019520675547047395,0.2092106103178925,0
8,61511.52093729363,60,648.8584040526939,51179.154947877425,Full-time,0.32648497857567593,0.3594079296887184,0
9,42957.88421097572,60,730.413647270821,49477.16655677884,Part-time,0.9525046516096342,0.6056540406737427,0
10,58138.40065378947,36,647.3426781375862,75027.95598730966,Unemployed,0.26758541989964957,0.323763082843736,0
11,43048.734607813065,48,749.6039040243759,44189.07780782081,Self-employed,0.9303234357739314,0.5877668583664551,0
12,43014.05369644615,60,739.6731522890091,44457.65017469199,Self-employed,0.9727972570964317,0.6125455896541958,0
13,53629.43407349051,48,714.8124811845503,53824.86069585383,Unemployed,0.10284487928136388,0.20784040553873562,0
14,21300.79633013303,24,737.7502880710709,55697.85178235339,Unemployed,0.8117177689317931,0.4892785541912278,0
15,24126.23251230451,60,758.6701164147951,52056.66472157237,Full-time,0.9488231341320716,0.5558748988489012,0
16,41565.68706138541,60,698.6367242927529,5000.0,Part-time,0.2102878283217654,0.3433164794499252,0
17,34807.53319498364,36,708.534849082024,62352.080451555536,Self-employed,0.3850540636461224,0.31358397127411064,0
18,54713.709988929106,48,712.1120422694469,89889.82463464563,Full-time,0.8379799959235986,0.5785584934780406,0
