tower_id,lat,lon,frequency_band
T1000,48.20043709807963,16.474535120368902,2.6GHz
T1001,48.15309971123816,16.364657466917762,800MHz
T1002,48.258730749259456,16.340298265816923,800MHz
T1003,48.171361555744966,16.370292793168822,2.6GHz
T1004,48.227064950596024,16.350057950922746,1.8GHz
T1005,48.248622313820654,16.389069389927414,800MHz
T1006,48.140894303162945,16.421195792400315,1.8GHz
T1007,48.20857562340204,16.27399306704092,2.6GHz
T1008,48.28781331415111,16.2909125701129,1.8GHz
T1009,48.10627245634161,16.23535158825827,800MHz
T1010,48.167353654576566,16.446255023264108,1.8GHz
T1011,48.194403717148354,16.317396520673594,1.8GHz
T1012,48.11390192088113,16.250159348337743,1.8GHz
T1013,48.268925187034874,16.424908672676377,800MHz
T1014,48.28355041894615,16.3058086551006,1.8GHz
T1015,48.207412574385664,16.445956532613167,2.6GHz
T1016,48.110376296557334,16.333131422134922,800MHz
T1017,48.27079402949233,16.43858897210534,2.6GHz
T1018,48.106793392363876,16.332446579496906,2.6GHz
T1019,48.21477430116834,16.224181604751056,1.8GHz
T1020,48.27441660189104,16.342701374154732,800MHz
T1021,48.181825002520846,16.233865250302653,2.6GHz
T1022,48.257567832967965,16.366557220518228,800MHz
T1023,48.10497147964843,16.42845242551064,800MHz
T1024,48.12558421725085,16.264359260803317,2.6GHz
T1025,48.23720304953049,16.450418840588384,2.6GHz
T1026,48.280521870021474,16.467802232640196,800MHz
T1027,48.23889099662384,16.317702157838678,1.8GHz
T1028,48.138193704906406,16.42868351243052,1.8GHz
T1029,48.100387559305204,16.375321475200817,1.8GHz
T1030,48.158746149089644,16.287503341999162,800MHz
T1031,48.13558570864462,16.387646203509746,800MHz
T1032,48.115060055965536,16.25095545713926,800MHz
T1033,48.24509056477641,16.220285717480984,2.6GHz
T1034,48.13014369713049,16.423229341664566,1.8GHz
T1035,48.26963701671002,16.42268794805444,1.8GHz
T1036,48.13315068485572,16.315184029924254,2.6GHz
T1037,48.25358603637428,16.498587979784276,2.6GHz
T1038,48.29129369435627,16.2826208016891,2.6GHz
T1039,48.24845444706443,16.41852559881751,2.6GHz
T1040,48.17117362307059,16.434019833243493,800MHz
T1041,48.24079975021021,16.3412131098722,800MHz
T1042,48.24623819659631,16.41640611635965,1.8GHz
T1043,48.127677593698685,16.41952349048139,800MHz
T1044,48.10243958144059,16.441366482281165,2.6GHz
T1045,48.14155534395072,16.340597274549133,1.8GHz
T1046,48.243724102131765,16.472167011459646,2.6GHz
T1047,48.147516800650074,16.47718111808627,2.6GHz
T1048,48.22203920162076,16.351977517447075,1.8GHz
T1049,48.17339373114012,16.495759726610064,2.6GHz
