tenure,MonthlyCharges,Contract,Churn,latitude,longitude
52,105.56964681062857,One year,0,48.13814519751818,16.21713514901113
15,103.02198645669915,One year,0,48.16941247369988,16.24128892031951
61,59.71835296184548,Two year,1,48.209447504084125,16.200278825060987
21,86.80851365706462,Month-to-month,0,48.29835457619585,16.470967088203412
24,40.4984295415821,One year,0,48.23284034261435,16.20738539515237
3,49.31477302610133,Month-to-month,0,48.13984919088166,16.262836730852854
22,109.63358185211197,One year,0,48.10899228831831,16.324878834206373
53,21.300192351073605,Two year,0,48.1252712962629,16.306971397785244
2,28.550853085446807,Two year,0,48.21251104025461,16.473517763073833
30,40.78862551460273,Two year,1,48.25303206576335,16.21208668372036
38,22.65322038738197,One year,0,48.28808384146015,16.353664412303115
2,38.14354350897973,Month-to-month,0,48.10316463439936,16.404143838757314
64,78.30415609696922,Month-to-month,0,48.20455202831237,16.47950939210435
60,62.1424550592498,Month-to-month,0,48.19417347124463,16.386111375637118
21,109.26717110769748,One year,0,48.23121100439514,16.44112657080353
33,101.7443561738441,One year,0,48.211915770893064,16.225117481353603
58,54.1817351697876,One year,0,48.237407830116496,16.315781853281077
22,45.94234334312925,One year,0,48.231616516949835,16.31218414034372
49,57.96924081672669,One year,1,48.12340234497159,16.465886464936716
59,79.02949425148077,Month-to-month,0,48.25994358272374,16.245411351378984
42,46.80636408228763,One year,1,48.12464651514327,16.245565851700988
60,82.41489078491341,One year,0,48.23970612504183,16.298567444965737
15,60.941165219124045,Month-to-month,0,48.18322907352812,16.216339814210052
62,75.20471808519802,One year,0,48.20277014691532,16.254737412195748
62,63.61265291353167,Month-to-month,0,48.28065960287514,16.489562891563722
47,49.44657595419177,Month-to-month,0,48.277976745294694,16.328455181960152
62,114.84533069621567,Two year,0,48.263571261131005,16.38960576252673
51,96.36057941597608,Two year,0,48.202029676091264,16.41783337780339
55,34.011317576645254,Two year,0,48.24724796202676,16.310088422102158
64,106.84679758979128,Two year,0,48.20257941110376,16.244168122323156
3,68.74311982495136,One year,1,48.273921216494955,16.261974304866534
51,109.45522268940914,Two year,0,48.18055516664658,16.293979942974183
7,99.98552559473153,Month-to-month,0,48.294047068882975,16.390820526105667
21,62.52135044692334,One year,0,48.28646455164577,16.319484164726717
39,22.24693083201174,Two year,1,48.24832052389036,16.20204440937004
18,46.867735938494604,Month-to-month,1,48.15588317683522,16.35702215552024
4,74.16342146608669,One year,0,48.126330717758655,16.476454017572227
60,83.34782198261473,One year,0,48.270940690018634,16.443623283302603
14,45.78876854332023,Two year,0,48.13306045722759,16.44756341137789
9,33.93560740728241,One year,0,48.27085215779947,16.43851740528184
53,103.4930236799299,Month-to-month,0,48.19815300134247,16.297119247683128
2,118.44021807035521,One year,0,48.18131135676162,16.42955815012632
60,72.56901823026858,Month-to-month,0,48.28063815576688,16.242948407343356
71,37.16792858483035,One year,0,48.220770196508056,16.397314844182787
44,47.2307326519369,Two year,1,48.21532280142594,16.392470570005496
8,21.839067654746675,Month-to-month,0,48.21175318892488,16.20767093972692
47,111.4298806560499,One year,0,48.174233903203906,16.43639104007728
35,31.775108289014113,One year,0,48.25712862070582,16.47097443152854
36,77.65164755142536,One year,1,48.150559688803156,16.28022458354163
50,47.4055220687206,Month-to-month,0,48.28777899200825,16.443717217255845
4,75.41780025157934,Month-to-month,1,48.27879704100939,16.224721791558583
2,85.14203883518643,Month-to-month,1,48.167496065134976,16.37999035747832
6,102.97418037072016,Two year,0,48.24589275396633,16.345694059600284
54,40.64212717606032,Two year,0,48.214644638889915,16.3637770599927
